path	bytes	sha256	git_blob	provenance_class	license_requirement
docs/graphics-v2/pipeline-experiments/idea-bc-kilteevan-boundary-material-literal-paint-oblique.png	160126	e72fdd648e417b556d770a900c6e60951b375ccf267a661369e7a281cd5692df	a03b4ef20fa08d586367b9a268e77a05735f73fd	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bc-kilteevan-boundary-material-oblique-ink-warp.png	72488	944f428eeb187acb4d12eaa85fe6d388755c979664b9d203abfe5e0725d15b02	fbde4d9b503443b1a7ca60cd1b27128a38a58528	derived-control-or-analysis	retain-NLS-CC-BY-where-map-derived-and-project-sidecar
docs/graphics-v2/pipeline-experiments/idea-bc-kilteevan-boundary-material-oblique-raw-warp.png	242857	ec54916f1f38515cb892d7d8c0d628d213bfb9250ec1f0457334f10163d4f855	3ca2d2a57be333732cd7c60e6edc85b3d8738906	derived-control-or-analysis	retain-NLS-CC-BY-where-map-derived-and-project-sidecar
docs/graphics-v2/pipeline-experiments/idea-bc-kilteevan-boundary-material-road-topology-control.png	22355	75cfd45bce4fe3fab4db191c1bc6c11d30168c82521dcc71797916b746e6855e	aa0bab160c67e55fec1e21ed0c914e577d279629	derived-control-or-analysis	retain-NLS-CC-BY-where-map-derived-and-project-sidecar
docs/graphics-v2/pipeline-experiments/idea-bc-kilteevan-boundary-material-road-topology-oblique.png	49382	2936326a203af2968fc177abab37f051975fa26b33081ca0de84adc3ec073c1b	454cf1a287c54f5cd0fae50ddf739ce43b5a46b2	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bc-kilteevan-boundary-material-semantic-mask.png	13419	6c3b7f56b303fadbd79e25e6163f171e41507b3968be481d252498ed29cfa1f0	c9e552e3c469682eabe1362c2e24641696d64a98	derived-control-or-analysis	retain-NLS-CC-BY-where-map-derived-and-project-sidecar
docs/graphics-v2/pipeline-experiments/idea-bd-kilteevan-soft-planting-boundary-material-control.png	98657	4f71ef096202be8c10caf216f74c02c3cf7b0fc29386fe2301f9c73acfb8a7b6	b311d3a1d12031e87ce7f77a8c9d2b3b0771942f	derived-control-or-analysis	retain-NLS-CC-BY-where-map-derived-and-project-sidecar
docs/graphics-v2/pipeline-experiments/idea-bd-kilteevan-soft-planting-boundary-material-oblique.png	165789	c219027bcf0c669f781bad81cc543fb2f6ce1bd37b0e5e0b9ba1e5d029ee5661	41198dd4f65ec9703ac372efd4772143f19095c6	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bd-kilteevan-soft-planting-extruded-blockout.png	21061	33809b7f4210417901c5982961a891d25651c080afbefa86ebb265398b72a2f0	426bc62ba874066312bd0891eaf3a52a72f76ad5	derived-control-or-analysis	retain-NLS-CC-BY-where-map-derived-and-project-sidecar
docs/graphics-v2/pipeline-experiments/idea-bd-kilteevan-soft-planting-fresh-notebook.png	3500954	c4e36d6d461f642ea5417e09aeeb5e56fcec5731615a94dd25d1a3168db44d42	40cc3a12a8de8cfde3d899b773f79383fe49f8c0	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bd-kilteevan-soft-planting-ink-mask.png	40386	8120e61e9f4638313de748fd7fb13f6f7e6013e412e12df50ea8f1acf9b99112	e5dda7bdabdc1f3e179b1fdb780c5a9a76bfb816	derived-control-or-analysis	retain-NLS-CC-BY-where-map-derived-and-project-sidecar
docs/graphics-v2/pipeline-experiments/idea-bd-kilteevan-soft-planting-linework-control.png	17685	4dd6fea4eb5ec74fe93e486c4b0e211e80490e3f83440f2b4862b0d752de07e5	84301fc8cb80d4b1564a8219091fabeec67e5e0d	derived-control-or-analysis	retain-NLS-CC-BY-where-map-derived-and-project-sidecar
docs/graphics-v2/pipeline-experiments/idea-bd-kilteevan-soft-planting-literal-paint-control.png	95949	e77387966ded87ecbe0b426518470af8acddd368c7161c41500e63b6e3ad3692	4ab24f95cead64b4cd48a1b54d4c9db4274a9499	derived-control-or-analysis	retain-NLS-CC-BY-where-map-derived-and-project-sidecar
docs/graphics-v2/pipeline-experiments/idea-bd-kilteevan-soft-planting-literal-paint-oblique.png	160126	e72fdd648e417b556d770a900c6e60951b375ccf267a661369e7a281cd5692df	a03b4ef20fa08d586367b9a268e77a05735f73fd	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bd-kilteevan-soft-planting-oblique-ink-warp.png	72488	944f428eeb187acb4d12eaa85fe6d388755c979664b9d203abfe5e0725d15b02	fbde4d9b503443b1a7ca60cd1b27128a38a58528	derived-control-or-analysis	retain-NLS-CC-BY-where-map-derived-and-project-sidecar
